Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,presentation,,Participant Identification Number (PIN),,The Participant Identification Number or PIN is a unique number used to identify the patient's (participant's) data.,Write the Participant Identification Number (PIN).,,
inclu_disease,presentation,INCLUSION CRITERIA,Suspected or confirmed infection,,This refers to any suspected or confirmed infection(s).,"If more than one infection is suspected, select the most likely and complete the PATHOGEN TESTING section with laboratory confirmation.",,
inclu_reason,presentation,INCLUSION CRITERIA,Is the suspected or confirmed infection the reason for hospital admission?,"1, Yes | 0, No | 99, Unknown",This refers to whether suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission.,Indicate 'Yes' if suspected or confirmed infection with the pathogen of interest if the reason (indication) for the hospital admission. Indicate 'No' if the suspected or confirmed infection with the pathogen of interest is not the reason (indication) for hospital admission.,,
inclu_case,presentation,INCLUSION CRITERIA,Status of case,"1, Confirmed | 2, Probable | 3, Suspected | 4, Discarded | 5, Error","Confirmed refers to a case that is laboratory confirmed and may fulfil the clinical criteria as described in the case definition. Probable refers to a clinically compatible illness that is epidemiologically linked to a confirmed case without laboratory confirmation of infection with pathogen of interest. Suspected refers to a clinically compatible illness without epidemiological link or laboratory confirmation. Discarded refers to a patient with a negative laboratory test and has failed to fulfill the criteria for a suspect, probable or confirmed case. ",Select the most appropriate option that represents the status of the case. ,,
inclu_testreason,presentation,INCLUSION CRITERIA,Reason why the patient was tested," 1, Symptomatic | 2, Asymptomatic, contact-traced | 3, Asymptomatic, mass testing campaign | 4, Not tested",This refers to the reason the patient was tested for the pathogen of interest.,Select the most appropriate option which corresponds to the reason the patient was tested for the pathogen of interest.,,
inclu_consentdes,presentation,INCLUSION CRITERIA,Consent:,,,,,
inclu_consent,presentation,INCLUSION CRITERIA,Participant (or their representative) has provided consent to participate in this study.,"1, Yes | 0, No, participant did not agree to participate in the study | 2, No, the ethics committee approved a waiver of consent | 99, Unknown",This refers to provision of informed consent by the patient or their representative for participation in this study.,Indicate 'Yes' if the patient or their representative has provided their informed consent for participation in this study.,,
inclu_consent_date,presentation,INCLUSION CRITERIA,Date of consent,,This refers to date on which informed consent was given for the participants inclusion in this study.,Write the date on which informed consent was given for the participants inclusion in this study. Use DD/MM/YYYY format.,,
inclu_consent_who,presentation,INCLUSION CRITERIA,Consent provided by,"1, Participant | 2, Parent/guardian | 3, Consultee | 4, Independent clinician ",This refers to who provided the consent for participation in this study.,Select the most appropriate option that represents who provided the consent for participation in this study.,,
inclu_consent_whopg,presentation,INCLUSION CRITERIA,Does the child or young person give their assent?,"1, Yes | 0, No | 2, Not competent","This refers to assent given by a minor or adult who is unable to give consent on their own behalf, to participate in a study. Assent must be accompanied by consent from a parent or legal guardian for full participation in the study.",Select the most appropriate option that represents whether assent was provided for participation in this study.,,
