Microorganism,Code,Library,Type,Selected,preset_Syndrome_VHF,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006.0,SNOMED,bacteria,,,,,
Achromobacter xilosoxidans,413424009.0,SNOMED,bacteria,,,,,
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,
Acinetobacter anitrato,82550008.0,SNOMED,bacteria,,,,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,,,,
Complejo de acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,
Acinetobacter Johnsonii,252000.0,SNOMED,bacteria,,,,,
Acremonio,63996006.0,SNOMED,fungi,,,,,
Actinomyces israelii,46369004.0,SNOMED,bacteria,,,,,
Adenoviridae,424470006.0,SNOMED,virus,,,,,
Aeromonas,88529008.0,SNOMED,bacteria,,,,,
Agregado,441718002.0,SNOMED,bacteria,,,,,
Bacterias anaeróbicas,59343002.0,SNOMED,bacteria,,,,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,
Andes ortohantavirus,442001008.0,SNOMED,virus,,,,,
Arenaviridae,243624009.0,SNOMED,virus,,,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,
Aspergilo,2429008.0,SNOMED,fungi,,,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,
Complejo aspergillus fumigatus,719029007.0,SNOMED,fungi,,,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,
Astroviridae,424055004.0,SNOMED,virus,,,,,
Influenza aviar A H5N1,772827006.0,SNOMED,virus,1.0,,,,
Influenza aviar A H7N9,609444009.0,SNOMED,virus,1.0,,,,
Bacilo,44762009.0,SNOMED,bacteria,,,,,
Bacillus anthracis,21927003.0,SNOMED,bacteria,,,,,
Bacillus cereus,84408007.0,SNOMED,bacteria,,,,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,
Bocavirus (género),430902006.0,SNOMED,virus,,,,,
Bordetella ferina,5247005.0,SNOMED,bacteria,,,,,
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",,,,,
Bunyaviridae (familia),243615000.0,SNOMED,virus,,,,,
Burkholderia,414324002.0,SNOMED,bacteria,,,,,
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,
Caliciviridae (familia),243627002.0,SNOMED,virus,,,,,
Campylobacter,35408001.0,SNOMED,bacteria,,,,,
Candida,3265006.0,SNOMED,fungi,,,,,
Candida albicans,53326005.0,SNOMED,fungi,,,,,
Candida auris,3490000000000.0,SNOMED,fungi,,,,,
Candida dubliniensis,115952006.0,SNOMED,fungi,,,,,
Candida glabrata,444877006.0,SNOMED,fungi,,,,,
Candida inconspicua,283871001.0,SNOMED,fungi,,,,,
Ortopsilosis de candida,3690000000000.0,SNOMED,fungi,,,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,
Candida Tropicalis,47885008.0,SNOMED,fungi,,,,,
Clamidia,16241000.0,SNOMED,bacteria,,,,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,
Chryseobacterium indologenos,113549008.0,SNOMED,bacteria,,,,,
Citrobacter,75972000.0,SNOMED,bacteria,,,,,
Citrobacter braakii,114262000.0,SNOMED,bacteria,,,,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,,,,,
Citrobacter koseri,114264004.0,SNOMED,bacteria,,,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,,,,,
Clostridium difficile,5933001.0,SNOMED,bacteria,,,,,
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,,,,
Clostridium tetani,30917009.0,SNOMED,bacteria,,,,,
Staphylococcus de coagulasa,116197008.0,SNOMED,bacteria,,,,,
Coccidioides,8672004.0,SNOMED,fungi,,,,,
Coccidioides inmites,23439005.0,SNOMED,fungi,,,,,
Bacteria coliforme,77309002.0,SNOMED,bacteria,,,,,
Coronaviridae (familia),243607003.0,SNOMED,virus,,,,,
Corynebacterium,77086004.0,SNOMED,bacteria,,,,,
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,,,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,,,,
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,,,,
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,,,,
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,,,,
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,,,,,
Virus de fiebre hemorrágica de Crimea-Congo (CCHF),79875007.0,SNOMED,virus,,1.0,,,
Cryptococcus,17579001.0,SNOMED,bacteria,,,,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,,,
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,,,,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,,,
Criptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,,,
Ciclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,,,
Citomegalovirus,407444007.0,SNOMED,virus,,,,,
Delftia,416493002.0,SNOMED,bacteria,,,,,
Delftia Acidovorans,20432002.0,SNOMED,bacteria,,,,,
Deltavirus,83617006.0,SNOMED,virus,,,,,
Virus del dengue,34348001.0,SNOMED,virus,,,,,
Dermabacter,413976002.0,SNOMED,bacteria,,,,,
Diferoide,54642001.0,SNOMED,bacteria,,,,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,,,
Virus del ébola,424206003.0,SNOMED,virus,,1.0,,,
Equinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,,,
Eggerthella,414075007.0,SNOMED,bacteria,,,,,
Elizabethkingia,426244005.0,SNOMED,bacteria,,,,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,,,
Bacterias entéricas,106544002.0,SNOMED,bacteria,,,,,
Enterobacterista,58683007.0,SNOMED,bacteria,,,,,
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,,,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,,,,
Enterobacter bugandensis,114000000000000.0,SNOMED,bacteria,,,,,
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,,,,
Complejo Enterobacter cloacae,414102007.0,SNOMED,bacteria,,,,,
