Drugs,Code,Library,Selected,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Acide acétylsalicylique (aspirine, ascriptine, écotrine)",N02BA01, ATC     ,1,1,1,,
Celecoxib (Celebrex), M01AH01 , ATC     ,1,1,2,,
"Diclofenac (Voltaren, cataflam)", M01AB05 , ATC     ,1,1,3,,
Étoricoxib (arcoxia), M01AH05 , ATC     , , ,4,,
"Flurbiprofène (ANSAID, Ocufen)", M01AE09 , ATC     , , ,5,,
"Ibuprofène (Advil, Motrin)", M01AE01 , ATC     ,1,1,6,,
Indométhacine (indocine), M01AB01 , ATC     ,1,1,7,,
"Kétoprofène (Orudis, Oruvail)", M01AE03 , ATC     , , ,8,,
Ketorolac (Toradol), M01AB15 , ATC     , , ,9,,
Acide méfénamique (ponstel), M01AG01 , ATC     , , ,10,,
Méloxicam (mobic), M01AC06 , ATC     , , ,11,,
Nabumetone (Relafen), M01AX01 , ATC     , , ,12,,
"Naproxène (Aleve, Naprosyn)", M01AE02 , ATC     ,1,1,13,,
Piroxicam (feldene), M01AC01 , ATC     , , ,14,,
Sulindac (Clinoril), M01AB02 , ATC     , , ,15,,
