Paper-like section,Text,Paper-like section_translation,Text_translation,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Title,ISARIC CORE CRF,Title,NÚCLEO ISÁRICO CRF,,
DESIGN OF THIS CASE REPORT FORM (CRF),This CRF is set up in modules to be used for recording data on [PROJECT_NAME].  A template for completion instructions is below. This should be tailored to the objectives of your data collection.,DESIGN OF THIS CASE REPORT FORM (CRF),Este CRF é configurado em módulos para serem usados ​​para registrar dados em [PROJECT_NAME]. Um modelo para instruções de conclusão está abaixo. Isso deve ser adaptado aos objetivos da sua coleta de dados.,,
PRESENTATION FORM, ALWAYS complete on the first day of presentation/admission/assessment. ,PRESENTATION FORM,SEMPRE concluído no primeiro dia de apresentação/admissão/avaliação.,,
PRESENTATION FORM,Timing /Events: Hospital admission / initial assessment,PRESENTATION FORM,Cronometragem/Eventos: Admissão hospitalar/avaliação inicial,,
DAILY FORM, ALWAYS complete on the first day of presentation/admission/assessment,DAILY FORM,SEMPRE concluído no primeiro dia de apresentação/admissão/avaliação,,
DAILY FORM," IF APPLICABLE, complete on the day of admission to ICU/high dependency unit/critical care (if different date to the date of first presentation/admission)",DAILY FORM,"SE APLICÁVEL, preencha no dia da admissão na UTI/unidade de alta dependência/cuidados intensivos (se a data for diferente da data da primeira apresentação/admissão)",,
DAILY FORM, OPTION to complete on days that research specific samples are taken,DAILY FORM,OPÇÃO para completar nos dias em que amostras específicas da pesquisa são coletadas,,
DAILY FORM, OPTION to complete daily if of interest for specific analysis. ,DAILY FORM,OPÇÃO para preencher diariamente se for de interesse para análise específica.,,
DAILY FORM,Timing /Events: Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional),DAILY FORM,Cronograma/Eventos: Admissão hospitalar/avaliação inicial | Admissão na UTI (se aplicável) | Amostra de pesquisa coletada (opcional) | Conforme protocolo do local (opcional),,
OUTCOME FORM, ALWAYS complete at discharge or death or at the end of the study period,OUTCOME FORM,SEMPRE preenchido na alta ou morte ou no final do período de estudo,,
OUTCOME FORM,Timing /Events: Discharge / death / end of study,OUTCOME FORM,Momento/Eventos: Alta/morte/fim do estudo,,
FOLLOW-UP FORM,Timing /Events: As per site protocol (optional),FOLLOW-UP FORM,Cronometragem/Eventos: Conforme protocolo do site (opcional),,
WITHDRAWAL FORM,Timing /Events: As per site protocol (optional),WITHDRAWAL FORM,Cronometragem/Eventos: Conforme protocolo do site (opcional),,
Follow-up details,Continue to follow-up patients who transfer between wards.,Follow-up details,Continue acompanhando os pacientes que são transferidos entre enfermarias.,,
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study,Timing /Events,Admissão hospitalar / avaliação inicial | Admissão na UTI (se aplicável) | Amostra de pesquisa coletada (opcional) | Conforme protocolo do local (opcional) | Alta / óbito / fim do estudo,,
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,GENERAL GUIDANCE,Entre em contato com o Centro de Suporte Global da ISARIC em data@isaric.org,,
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",GENERAL GUIDANCE,"O CRF é projetado para coletar dados obtidos por meio de exame, entrevista, revisão de notas hospitalares ou extração de registros eletrônicos de saúde. Os dados podem ser coletados prospectivamente ou retrospectivamente se o paciente for inscrito após a data de apresentação a uma unidade de saúde.",,
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,GENERAL GUIDANCE,Consulte as Diretrizes de Preenchimento do CRF para obter orientações detalhadas sobre como preencher esses formulários.,,
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",GENERAL GUIDANCE,"Sua instituição pode capturar dados: <br/>(a) no banco de dados REDCap hospedado pelo ISARIC - entre em contato com o ISARIC para obter acesso, <br/>(b) em um banco de dados REDCap hospedado em sua instituição - entre em contato com o ISARIC se precisar de suporte para configurá-lo, ou<br/>(c) em um banco de dados ou sistema de registro eletrônico de saúde em sua instituição - entre em contato com o ISARIC para obter suporte ao mapeamento de dados.",,
GENERAL GUIDANCE,"Participant Identification Numbers consist of a 5-digit site code and a 4-digit participant number. <br/>Please obtain a site code and register on the data management system by contacting ISARIC.  Participant numbers should be assigned sequentially for each site beginning with 0001 or in blocks, possibly including alpha characters, where useful.  E.g., Ward X will assign numbers from 0001 or A001 onwards and Ward Y will assign numbers from 5001 or B001 onwards.",GENERAL GUIDANCE,"Os Números de Identificação do Participante consistem em um código de site de 5 dígitos e um número de participante de 4 dígitos. <br/>Obtenha um código de site e registre-se no sistema de gerenciamento de dados entrando em contato com o ISARIC. Os números de participantes devem ser atribuídos sequencialmente para cada site começando com 0001 ou em blocos, possivelmente incluindo caracteres alfabéticos, quando útil. Por exemplo, a Ala X atribuirá números de 0001 ou A001 em diante e a Ala Y atribuirá números de 5001 ou B001 em diante.",,
GENERAL GUIDANCE,"For participants who return for re-admission to the same site, start a new form with a different Participant Identification Number. Please check ""YES-admitted previously to this facility"" in the RE-ADMISSION section. Enter as 2 separate records if you are using a REDCap (or similar) database. ",GENERAL GUIDANCE,"Para participantes que retornam para readmissão no mesmo site, inicie um novo formulário com um Número de Identificação de Participante diferente. Marque ""SIM - admitido anteriormente nesta instalação"" na seção READMISSÃO. Insira como 2 registros separados se estiver usando um banco de dados REDCap (ou similar).",,
